

Date/Time:,13-Mar-20 08:47:12 AM
Film name:,Poly on 1000A Oxide
Stage group:,49 pts radial
Lot ID:,kk_0312 sel_post
Wafer ID:,# 25
Cassette recipe name:,SemiAuto -
Wafer recipe name:,POLY ON 1K OXIDE 49PT 3mmEE
Stage recipe name:,49 pt 12 in 4x Notch 3mm ex
Title:,Point#,SiO2 (Å),Poly (Å),MSE,X(mm),Y(mm)
,1,1000.00,4983.74,23.3400,0.000,0.000
,2,1000.00,4994.98,23.9000,0.000,49.000
,3,1000.00,4984.06,23.5600,34.648,34.648
,4,1000.00,4982.28,23.2700,49.000,0.000
,5,1000.00,4999.47,23.4300,34.648,-34.648
,6,1000.00,5003.38,23.4700,0.000,-49.000
,7,1000.00,4985.17,23.2800,-34.648,-34.648
,8,1000.00,4979.21,23.1200,-49.000,-0.000
,9,1000.00,4998.48,24.3700,-34.648,34.648
,10,1000.00,5033.50,24.7300,0.000,98.000
,11,1000.00,5012.44,24.1800,37.503,90.540
,12,1000.00,4984.98,23.5100,69.296,69.297
,13,1000.00,4967.18,23.0500,90.540,37.503
,14,1000.00,4970.37,22.7700,98.000,0.000
,15,1000.00,4994.44,22.9300,90.540,-37.503
,16,1000.00,5034.81,24.0100,69.297,-69.296
,17,1000.00,5066.26,24.0200,37.503,-90.540
,18,1000.00,5052.91,24.3600,0.000,-98.000
,19,1000.00,5019.14,23.5000,-37.503,-90.540
,20,1000.00,4983.42,22.9900,-69.296,-69.297
,21,1000.00,4962.19,22.7700,-90.540,-37.503
,22,1000.00,4968.49,23.4700,-98.000,-0.000
,23,1000.00,4995.15,24.3900,-90.540,37.503
,24,1000.00,5023.56,25.1700,-69.297,69.296
,25,1000.00,5038.52,25.1900,-37.503,90.540
,26,1000.00,5038.55,23.2800,0.000,147.000
,27,1000.00,5012.89,22.5300,38.046,141.991
,28,1000.00,4976.22,21.8400,73.500,127.306
,29,1000.00,4940.99,21.3100,103.945,103.945
,30,1000.00,4913.97,20.8000,127.306,73.500
,31,1000.00,4901.27,20.6300,141.991,38.047
,32,1000.00,4908.95,20.6000,147.000,0.000
,33,1000.00,4938.86,21.8500,141.991,-38.046
,34,1000.00,4992.57,21.8900,127.306,-73.500
,35,1000.00,5031.93,23.4600,103.945,-103.944
,36,1000.00,5143.49,23.2700,73.500,-127.306
,37,1000.00,5165.56,23.3000,38.047,-141.991
,38,1000.00,5068.21,24.0600,0.000,-147.000
,39,1000.00,5065.91,23.0000,-38.046,-141.991
,40,1000.00,4983.56,23.2100,-73.500,-127.306
,41,1000.00,4948.82,21.4600,-103.944,-103.945
,42,1000.00,4910.02,20.5800,-127.305,-73.500
,43,1000.00,4899.03,20.6300,-141.991,-38.047
,44,1000.00,4913.15,21.2800,-147.000,-0.001
,45,1000.00,4944.53,21.7300,-141.991,38.046
,46,1000.00,4986.03,22.3800,-127.306,73.499
,47,1000.00,5022.96,23.1800,-103.945,103.944
,48,1000.00,5045.91,23.3400,-73.501,127.305
,49,1000.00,5050.19,23.5100,-38.047,141.991

Max,,1000.00,5165.56,25.1900
Min,,1000.00,4899.03,20.5800
Range,,0.00,266.53,4.6100
Mean,,1000.00,4996.36,22.9776
StdD,,0.00,55.53,1.1925
%StdD,,0.00,1.11,5.1900
%NonU,,0.00,2.67,10.0315
CTE,,N/A,N/A,N/A

Date/Time:,13-Mar-20 08:44:55 AM
Film name:,Poly on 1000A Oxide
Stage group:,49 pts radial
Lot ID:,kk_0312 sel_post
Wafer ID:,# 24
Cassette recipe name:,SemiAuto -
Wafer recipe name:,POLY ON 1K OXIDE 49PT 3mmEE
Stage recipe name:,49 pt 12 in 4x Notch 3mm ex
Title:,Point#,SiO2 (Å),Poly (Å),MSE,X(mm),Y(mm)
,1,1000.00,4927.83,31.1000,0.000,0.000
,2,1000.00,4912.95,30.9900,0.000,49.000
,3,1000.00,4944.89,30.8000,34.648,34.648
,4,1000.00,4964.20,31.0500,49.000,0.000
,5,1000.00,4949.44,31.2400,34.648,-34.648
,6,1000.00,4936.52,31.6400,0.000,-49.000
,7,1000.00,4939.53,32.1900,-34.648,-34.648
,8,1000.00,4930.14,32.1300,-49.000,-0.000
,9,1000.00,4912.67,31.5100,-34.648,34.648
,10,1000.00,4892.47,31.0000,0.000,98.000
,11,1000.00,4928.68,30.6300,37.503,90.540
,12,1000.00,4985.22,31.2700,69.296,69.297
,13,1000.00,5033.32,31.8100,90.540,37.503
,14,1000.00,5044.83,31.7300,98.000,0.000
,15,1000.00,5007.32,31.7800,90.540,-37.503
,16,1000.00,4970.18,31.9600,69.297,-69.296
,17,1000.00,4946.20,32.3500,37.503,-90.540
,18,1000.00,4946.88,33.1100,0.000,-98.000
,19,1000.00,4962.07,34.2700,-37.503,-90.540
,20,1000.00,4977.90,34.3700,-69.296,-69.297
,21,1000.00,4985.05,34.8600,-90.540,-37.503
,22,1000.00,4973.23,34.6900,-98.000,-0.000
,23,1000.00,4942.35,33.8100,-90.540,37.503
,24,1000.00,4905.59,32.9100,-69.297,69.296
,25,1000.00,4882.97,31.8100,-37.503,90.540
,26,1000.00,4789.66,29.3700,0.000,147.000
,27,1000.00,4839.64,28.7300,38.046,141.991
,28,1000.00,4913.99,29.3600,73.500,127.306
,29,1000.00,5019.80,30.2700,103.945,103.945
,30,1000.00,5050.29,31.5400,127.306,73.500
,31,1000.00,5152.51,29.5000,141.991,38.047
,32,1000.00,5193.59,28.1200,147.000,0.000
,33,1000.00,5034.97,32.0600,141.991,-38.046
,34,1000.00,4977.97,29.4600,127.306,-73.500
,35,1000.00,4947.37,30.6000,103.945,-103.944
,36,1000.00,4882.89,29.4900,73.500,-127.306
,37,1000.00,4868.46,29.7600,38.047,-141.991
,38,1000.00,4883.42,30.8600,0.000,-147.000
,39,1000.00,4903.67,31.8200,-38.046,-141.991
,40,1000.00,4929.98,32.7900,-73.500,-127.306
,41,1000.00,4953.34,33.5100,-103.944,-103.945
,42,1000.00,4972.82,34.1500,-127.305,-73.500
,43,1000.00,4971.54,34.4200,-141.991,-38.047
,44,1000.00,4958.43,34.2600,-147.000,-0.001
,45,1000.00,4924.90,33.1000,-141.991,38.046
,46,1000.00,4883.44,32.1500,-127.306,73.499
,47,1000.00,4830.64,31.5600,-103.945,103.944
,48,1000.00,4790.98,31.0200,-73.501,127.305
,49,1000.00,4776.16,30.4500,-38.047,141.991

Max,,1000.00,5193.59,34.8600
Min,,1000.00,4776.16,28.1200
Range,,0.00,417.43,6.7400
Mean,,1000.00,4943.94,31.7012
StdD,,0.00,78.09,1.6424
%StdD,,0.00,1.58,5.1809
%NonU,,0.00,4.22,10.6305
CTE,,N/A,N/A,N/A

Date/Time:,13-Mar-20 08:42:39 AM
Film name:,Poly on 1000A Oxide
Stage group:,49 pts radial
Lot ID:,kk_0312 sel_post
Wafer ID:,# 23
Cassette recipe name:,SemiAuto -
Wafer recipe name:,POLY ON 1K OXIDE 49PT 3mmEE
Stage recipe name:,49 pt 12 in 4x Notch 3mm ex
Title:,Point#,SiO2 (Å),Poly (Å),MSE,X(mm),Y(mm)
,1,1000.00,4930.45,32.1900,0.000,0.000
,2,1000.00,4947.77,33.1600,0.000,49.000
,3,1000.00,4949.65,34.0600,34.648,34.648
,4,1000.00,4937.96,33.5000,49.000,0.000
,5,1000.00,4916.30,32.7300,34.648,-34.648
,6,1000.00,4914.85,31.9400,0.000,-49.000
,7,1000.00,4945.67,31.8900,-34.648,-34.648
,8,1000.00,4970.49,32.1700,-49.000,-0.000
,9,1000.00,4958.86,32.1800,-34.648,34.648
,10,1000.00,4964.11,34.5600,0.000,98.000
,11,1000.00,4977.37,35.3200,37.503,90.540
,12,1000.00,4994.49,36.3100,69.296,69.297
,13,1000.00,5002.93,36.4400,90.540,37.503
,14,1000.00,4993.19,36.0100,98.000,0.000
,15,1000.00,4962.79,34.9600,90.540,-37.503
,16,1000.00,4920.10,33.6000,69.297,-69.296
,17,1000.00,4888.77,32.4200,37.503,-90.540
,18,1000.00,4890.47,32.0800,0.000,-98.000
,19,1000.00,4927.21,32.1900,-37.503,-90.540
,20,1000.00,4986.88,32.8500,-69.296,-69.297
,21,1000.00,5036.56,33.3200,-90.540,-37.503
,22,1000.00,5059.09,33.5600,-98.000,-0.000
,23,1000.00,5025.58,33.6700,-90.540,37.503
,24,1000.00,4988.62,33.6300,-69.297,69.296
,25,1000.00,4964.48,33.9600,-37.503,90.540
,26,1000.00,4897.66,32.4500,0.000,147.000
,27,1000.00,4920.53,33.3000,38.046,141.991
,28,1000.00,4953.33,34.7200,73.500,127.306
,29,1000.00,4988.51,36.1500,103.945,103.945
,30,1000.00,4999.47,36.6900,127.306,73.500
,31,1000.00,5007.39,37.4300,141.991,38.047
,32,1000.00,4993.95,37.0200,147.000,0.000
,33,1000.00,4964.94,36.0000,141.991,-38.046
,34,1000.00,4916.36,34.3300,127.306,-73.500
,35,1000.00,4858.42,33.3800,103.945,-103.944
,36,1000.00,4806.78,32.6800,73.500,-127.306
,37,1000.00,4776.18,31.9600,38.047,-141.991
,38,1000.00,4784.92,31.0600,0.000,-147.000
,39,1000.00,4826.75,30.3500,-38.046,-141.991
,40,1000.00,4898.85,29.5300,-73.500,-127.306
,41,1000.00,5019.87,31.8900,-103.944,-103.945
